dataset,participant,condition,trial,ai_correct,initial_correct,final_correct,accept_ai,override,switch,selfconf,aiconf,opportunity_wrong_ai,opportunity_correct_ai,appropriate_reliance,justified_override,unjustified_override,automation_failure
chess,C010_1,1,1,1,1,1,1,0,1,0.0,0.75,0,0,1,0,0,0
chess,C010_1,1,2,1,0,1,1,0,1,0.0,1.0,0,1,1,0,0,0
chess,C010_1,1,3,1,0,1,1,0,1,0.0,1.0,0,1,1,0,0,0
chess,C010_1,1,4,0,0,0,0,1,0,0.0,1.0,0,0,1,0,0,0
chess,C010_1,1,5,1,1,1,1,0,0,0.25,1.0,0,0,1,0,0,0
chess,C010_1,1,6,1,0,0,0,1,0,0.0,1.0,0,1,0,0,1,0
chess,C010_1,1,7,1,0,1,1,0,1,0.0,1.0,0,1,1,0,0,0
chess,C010_1,1,8,1,1,1,1,0,0,0.5,1.0,0,0,1,0,0,0
chess,C010_1,1,9,0,0,0,1,0,1,0.5,0.75,0,0,0,0,0,1
chess,C010_1,1,10,0,0,0,1,0,1,0.5,0.75,0,0,0,0,0,1
chess,C010_1,1,11,1,0,0,0,1,0,0.25,0.75,0,1,0,0,1,0
chess,C010_1,1,12,1,1,1,1,0,1,1.0,0.25,0,0,1,0,0,0
chess,C010_1,1,13,1,0,1,1,0,1,0.0,1.0,0,1,1,0,0,0
chess,C010_1,1,14,1,1,1,0,1,0,0.5,1.0,0,0,0,0,0,0
chess,C010_1,1,15,0,1,1,0,1,0,0.5,0.75,1,0,1,1,0,0
chess,C010_1,1,16,1,1,1,1,0,0,0.5,0.75,0,0,1,0,0,0
chess,C010_1,1,17,1,0,0,0,1,0,0.5,1.0,0,1,0,0,1,0
chess,C010_1,1,18,1,1,1,1,0,0,0.5,1.0,0,0,1,0,0,0
chess,C010_1,1,19,1,0,0,0,1,0,0.5,1.0,0,1,0,0,1,0
chess,C010_1,1,20,1,1,1,1,0,0,0.5,1.0,0,0,1,0,0,0
chess,C010_1,1,21,0,1,1,0,1,0,0.5,1.0,1,0,1,1,0,0
chess,C010_1,1,22,0,0,0,0,1,0,0.5,0.75,0,0,1,0,0,0
chess,C010_1,1,23,0,0,0,1,0,1,0.25,0.75,0,0,0,0,0,1
