participant_id,presentation_order,case_id,condition_id,stimulus_id,representation_condition,human_only_information_condition,ai_correctness_condition
DEMO0001,1,MSOD03,C3,MSOD03_C3,low_qc_candidate,present,correct
DEMO0001,2,MSOD01,C1,MSOD01_C1,low_qc_candidate,absent,correct
DEMO0001,3,MSOD08,C8,MSOD08_C8,high_qc_candidate,present,incorrect
DEMO0001,4,MSOD07,C7,MSOD07_C7,high_qc_candidate,present,correct
DEMO0001,5,MSOD04,C4,MSOD04_C4,low_qc_candidate,present,incorrect
DEMO0001,6,MSOD10,C2,MSOD10_C2,low_qc_candidate,absent,incorrect
DEMO0001,7,MSOD06,C6,MSOD06_C6,high_qc_candidate,absent,incorrect
DEMO0001,8,MSOD05,C5,MSOD05_C5,high_qc_candidate,absent,correct
DEMO0001,9,MSOD02,C2,MSOD02_C2,low_qc_candidate,absent,incorrect
DEMO0001,10,MSOD09,C1,MSOD09_C1,low_qc_candidate,absent,correct
DEMO0002,1,MSOD08,C1,MSOD08_C1,low_qc_candidate,absent,correct
DEMO0002,2,MSOD03,C4,MSOD03_C4,low_qc_candidate,present,incorrect
DEMO0002,3,MSOD07,C8,MSOD07_C8,high_qc_candidate,present,incorrect
DEMO0002,4,MSOD04,C5,MSOD04_C5,high_qc_candidate,absent,correct
DEMO0002,5,MSOD02,C3,MSOD02_C3,low_qc_candidate,present,correct
DEMO0002,6,MSOD05,C6,MSOD05_C6,high_qc_candidate,absent,incorrect
DEMO0002,7,MSOD10,C3,MSOD10_C3,low_qc_candidate,present,correct
DEMO0002,8,MSOD06,C7,MSOD06_C7,high_qc_candidate,present,correct
DEMO0002,9,MSOD09,C2,MSOD09_C2,low_qc_candidate,absent,incorrect
DEMO0002,10,MSOD01,C2,MSOD01_C2,low_qc_candidate,absent,incorrect
DEMO0003,1,MSOD09,C3,MSOD09_C3,low_qc_candidate,present,correct
DEMO0003,2,MSOD02,C4,MSOD02_C4,low_qc_candidate,present,incorrect
DEMO0003,3,MSOD07,C1,MSOD07_C1,low_qc_candidate,absent,correct
DEMO0003,4,MSOD03,C5,MSOD03_C5,high_qc_candidate,absent,correct
DEMO0003,5,MSOD10,C4,MSOD10_C4,low_qc_candidate,present,incorrect
DEMO0003,6,MSOD05,C7,MSOD05_C7,high_qc_candidate,present,correct
DEMO0003,7,MSOD08,C2,MSOD08_C2,low_qc_candidate,absent,incorrect
DEMO0003,8,MSOD06,C8,MSOD06_C8,high_qc_candidate,present,incorrect
DEMO0003,9,MSOD04,C6,MSOD04_C6,high_qc_candidate,absent,incorrect
DEMO0003,10,MSOD01,C3,MSOD01_C3,low_qc_candidate,present,correct
DEMO0004,1,MSOD04,C7,MSOD04_C7,high_qc_candidate,present,correct
DEMO0004,2,MSOD03,C6,MSOD03_C6,high_qc_candidate,absent,incorrect
DEMO0004,3,MSOD06,C1,MSOD06_C1,low_qc_candidate,absent,correct
DEMO0004,4,MSOD10,C5,MSOD10_C5,high_qc_candidate,absent,correct
DEMO0004,5,MSOD09,C4,MSOD09_C4,low_qc_candidate,present,incorrect
DEMO0004,6,MSOD08,C3,MSOD08_C3,low_qc_candidate,present,correct
DEMO0004,7,MSOD02,C5,MSOD02_C5,high_qc_candidate,absent,correct
DEMO0004,8,MSOD05,C8,MSOD05_C8,high_qc_candidate,present,incorrect
DEMO0004,9,MSOD07,C2,MSOD07_C2,low_qc_candidate,absent,incorrect
DEMO0004,10,MSOD01,C4,MSOD01_C4,low_qc_candidate,present,incorrect
DEMO0005,1,MSOD08,C4,MSOD08_C4,low_qc_candidate,present,incorrect
DEMO0005,2,MSOD05,C1,MSOD05_C1,low_qc_candidate,absent,correct
DEMO0005,3,MSOD06,C2,MSOD06_C2,low_qc_candidate,absent,incorrect
DEMO0005,4,MSOD03,C7,MSOD03_C7,high_qc_candidate,present,correct
DEMO0005,5,MSOD02,C6,MSOD02_C6,high_qc_candidate,absent,incorrect
DEMO0005,6,MSOD07,C3,MSOD07_C3,low_qc_candidate,present,correct
DEMO0005,7,MSOD09,C5,MSOD09_C5,high_qc_candidate,absent,correct
DEMO0005,8,MSOD04,C8,MSOD04_C8,high_qc_candidate,present,incorrect
DEMO0005,9,MSOD10,C6,MSOD10_C6,high_qc_candidate,absent,incorrect
DEMO0005,10,MSOD01,C5,MSOD01_C5,high_qc_candidate,absent,correct
DEMO0006,1,MSOD08,C5,MSOD08_C5,high_qc_candidate,absent,correct
DEMO0006,2,MSOD01,C6,MSOD01_C6,high_qc_candidate,absent,incorrect
DEMO0006,3,MSOD03,C8,MSOD03_C8,high_qc_candidate,present,incorrect
DEMO0006,4,MSOD07,C4,MSOD07_C4,low_qc_candidate,present,incorrect
DEMO0006,5,MSOD05,C2,MSOD05_C2,low_qc_candidate,absent,incorrect
DEMO0006,6,MSOD09,C6,MSOD09_C6,high_qc_candidate,absent,incorrect
DEMO0006,7,MSOD10,C7,MSOD10_C7,high_qc_candidate,present,correct
DEMO0006,8,MSOD06,C3,MSOD06_C3,low_qc_candidate,present,correct
DEMO0006,9,MSOD02,C7,MSOD02_C7,high_qc_candidate,present,correct
DEMO0006,10,MSOD04,C1,MSOD04_C1,low_qc_candidate,absent,correct
DEMO0007,1,MSOD01,C7,MSOD01_C7,high_qc_candidate,present,correct
DEMO0007,2,MSOD02,C8,MSOD02_C8,high_qc_candidate,present,incorrect
DEMO0007,3,MSOD10,C8,MSOD10_C8,high_qc_candidate,present,incorrect
DEMO0007,4,MSOD06,C4,MSOD06_C4,low_qc_candidate,present,incorrect
DEMO0007,5,MSOD05,C3,MSOD05_C3,low_qc_candidate,present,correct
DEMO0007,6,MSOD03,C1,MSOD03_C1,low_qc_candidate,absent,correct
DEMO0007,7,MSOD07,C5,MSOD07_C5,high_qc_candidate,absent,correct
DEMO0007,8,MSOD04,C2,MSOD04_C2,low_qc_candidate,absent,incorrect
DEMO0007,9,MSOD09,C7,MSOD09_C7,high_qc_candidate,present,correct
DEMO0007,10,MSOD08,C6,MSOD08_C6,high_qc_candidate,absent,incorrect
DEMO0008,1,MSOD08,C7,MSOD08_C7,high_qc_candidate,present,correct
DEMO0008,2,MSOD10,C1,MSOD10_C1,low_qc_candidate,absent,correct
DEMO0008,3,MSOD01,C8,MSOD01_C8,high_qc_candidate,present,incorrect
DEMO0008,4,MSOD07,C6,MSOD07_C6,high_qc_candidate,absent,incorrect
DEMO0008,5,MSOD02,C1,MSOD02_C1,low_qc_candidate,absent,correct
DEMO0008,6,MSOD09,C8,MSOD09_C8,high_qc_candidate,present,incorrect
DEMO0008,7,MSOD06,C5,MSOD06_C5,high_qc_candidate,absent,correct
DEMO0008,8,MSOD03,C2,MSOD03_C2,low_qc_candidate,absent,incorrect
DEMO0008,9,MSOD04,C3,MSOD04_C3,low_qc_candidate,present,correct
DEMO0008,10,MSOD05,C4,MSOD05_C4,low_qc_candidate,present,incorrect
DEMO0009,1,MSOD08,C8,MSOD08_C8,high_qc_candidate,present,incorrect
DEMO0009,2,MSOD10,C2,MSOD10_C2,low_qc_candidate,absent,incorrect
DEMO0009,3,MSOD09,C1,MSOD09_C1,low_qc_candidate,absent,correct
DEMO0009,4,MSOD02,C2,MSOD02_C2,low_qc_candidate,absent,incorrect
DEMO0009,5,MSOD07,C7,MSOD07_C7,high_qc_candidate,present,correct
DEMO0009,6,MSOD05,C5,MSOD05_C5,high_qc_candidate,absent,correct
DEMO0009,7,MSOD04,C4,MSOD04_C4,low_qc_candidate,present,incorrect
DEMO0009,8,MSOD03,C3,MSOD03_C3,low_qc_candidate,present,correct
DEMO0009,9,MSOD01,C1,MSOD01_C1,low_qc_candidate,absent,correct
DEMO0009,10,MSOD06,C6,MSOD06_C6,high_qc_candidate,absent,incorrect
DEMO0010,1,MSOD10,C3,MSOD10_C3,low_qc_candidate,present,correct
DEMO0010,2,MSOD03,C4,MSOD03_C4,low_qc_candidate,present,incorrect
DEMO0010,3,MSOD09,C2,MSOD09_C2,low_qc_candidate,absent,incorrect
DEMO0010,4,MSOD02,C3,MSOD02_C3,low_qc_candidate,present,correct
DEMO0010,5,MSOD07,C8,MSOD07_C8,high_qc_candidate,present,incorrect
DEMO0010,6,MSOD04,C5,MSOD04_C5,high_qc_candidate,absent,correct
DEMO0010,7,MSOD08,C1,MSOD08_C1,low_qc_candidate,absent,correct
DEMO0010,8,MSOD05,C6,MSOD05_C6,high_qc_candidate,absent,incorrect
DEMO0010,9,MSOD01,C2,MSOD01_C2,low_qc_candidate,absent,incorrect
DEMO0010,10,MSOD06,C7,MSOD06_C7,high_qc_candidate,present,correct
DEMO0011,1,MSOD06,C8,MSOD06_C8,high_qc_candidate,present,incorrect
DEMO0011,2,MSOD07,C1,MSOD07_C1,low_qc_candidate,absent,correct
DEMO0011,3,MSOD05,C7,MSOD05_C7,high_qc_candidate,present,correct
DEMO0011,4,MSOD08,C2,MSOD08_C2,low_qc_candidate,absent,incorrect
DEMO0011,5,MSOD01,C3,MSOD01_C3,low_qc_candidate,present,correct
DEMO0011,6,MSOD10,C4,MSOD10_C4,low_qc_candidate,present,incorrect
DEMO0011,7,MSOD04,C6,MSOD04_C6,high_qc_candidate,absent,incorrect
DEMO0011,8,MSOD09,C3,MSOD09_C3,low_qc_candidate,present,correct
DEMO0011,9,MSOD03,C5,MSOD03_C5,high_qc_candidate,absent,correct
DEMO0011,10,MSOD02,C4,MSOD02_C4,low_qc_candidate,present,incorrect
DEMO0012,1,MSOD08,C3,MSOD08_C3,low_qc_candidate,present,correct
DEMO0012,2,MSOD01,C4,MSOD01_C4,low_qc_candidate,present,incorrect
