dataset,participant,group,task,order,truth,ai,initial,final,ai_correct,initial_correct,final_correct,accept_ai,override,switch,opportunity_correct_ai,opportunity_wrong_ai,appropriate_reliance,justified_override,unjustified_override,automation_failure
loan,participant-278,analogy,LP002534,1,accept,accept,accept,accept,1,1,1,1,0,0,0,0,1,0,0,0
loan,participant-278,analogy,LP002181,2,reject,accept,accept,accept,0,0,0,1,0,0,0,0,0,0,0,1
loan,participant-278,analogy,LP001806,3,accept,accept,reject,accept,1,0,1,1,0,1,1,0,1,0,0,0
loan,participant-278,analogy,LP002142,4,reject,accept,reject,accept,0,1,0,1,0,1,0,1,0,0,0,1
loan,participant-278,analogy,LP002068,5,accept,accept,accept,accept,1,1,1,1,0,0,0,0,1,0,0,0
loan,participant-278,analogy,LP001882,6,accept,accept,accept,accept,1,1,1,1,0,0,0,0,1,0,0,0
loan,participant-278,analogy,LP001451,7,reject,reject,accept,accept,1,0,0,0,1,0,1,0,0,0,1,0
loan,participant-278,analogy,LP001030,8,accept,accept,accept,accept,1,1,1,1,0,0,0,0,1,0,0,0
loan,participant-278,analogy,LP002840,9,reject,accept,accept,accept,0,0,0,1,0,0,0,0,0,0,0,1
loan,participant-278,analogy,LP001849,10,reject,reject,accept,accept,1,0,0,0,1,0,1,0,0,0,1,0
loan,participant-160,analogy,LP001030,1,accept,accept,reject,accept,1,0,1,1,0,1,1,0,1,0,0,0
loan,participant-160,analogy,LP002840,2,reject,accept,accept,accept,0,0,0,1,0,0,0,0,0,0,0,1
loan,participant-160,analogy,LP002181,3,reject,accept,accept,accept,0,0,0,1,0,0,0,0,0,0,0,1
loan,participant-160,analogy,LP001882,4,accept,accept,reject,reject,1,0,0,0,1,0,1,0,0,0,1,0
loan,participant-160,analogy,LP002068,5,accept,accept,accept,accept,1,1,1,1,0,0,0,0,1,0,0,0
loan,participant-160,analogy,LP001806,6,accept,accept,accept,accept,1,1,1,1,0,0,0,0,1,0,0,0
loan,participant-160,analogy,LP002142,7,reject,reject,accept,accept,1,0,0,0,1,0,1,0,0,0,1,0
