stimulus_id,case_id,condition_id,strategic_domain,case_title,representation_condition,human_only_information_condition,ai_correctness_condition,stage1_common_evidence,stage1_prompt,stage1_response_options,stage1_confidence_scale,stage2_ai_recommendation,stage2_ai_confidence,stage2_prompt,stage3_additional_information,stage3_prompt,stage3_response_options,stage3_confidence_scale,criterion_correct_final_decision,criterion_rule_version,manipulation_status
MSOD01_C1,MSOD01,C1,Market entry,Regional Market Entry,low_qc_candidate,absent,correct,Demand in the target region is forecast to grow by 9% annually for the next three years. Entry requires an initial investment of ₹80 crore. Expected operating margin before financing is 11%. Two established competitors together hold about 58% of the market. The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,78,Review the AI recommendation before continuing.,No additional verified information affecting the entry economics is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C2,MSOD01,C2,Market entry,Regional Market Entry,low_qc_candidate,absent,incorrect,Demand in the target region is forecast to grow by 9% annually for the next three years. Entry requires an initial investment of ₹80 crore. Expected operating margin before financing is 11%. Two established competitors together hold about 58% of the market. The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,78,Review the AI recommendation before continuing.,No additional verified information affecting the entry economics is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C3,MSOD01,C3,Market entry,Regional Market Entry,low_qc_candidate,present,correct,Demand in the target region is forecast to grow by 9% annually for the next three years. Entry requires an initial investment of ₹80 crore. Expected operating margin before financing is 11%. Two established competitors together hold about 58% of the market. The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,78,Review the AI recommendation before continuing.,"A formally approved state incentive will reimburse 35% of qualifying entry investment, and the approval was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C4,MSOD01,C4,Market entry,Regional Market Entry,low_qc_candidate,present,incorrect,Demand in the target region is forecast to grow by 9% annually for the next three years. Entry requires an initial investment of ₹80 crore. Expected operating margin before financing is 11%. Two established competitors together hold about 58% of the market. The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,78,Review the AI recommendation before continuing.,"A formally approved state incentive will reimburse 35% of qualifying entry investment, and the approval was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C5,MSOD01,C5,Market entry,Regional Market Entry,high_qc_candidate,absent,correct,Decision question: Does the expected demand and operating margin justify the ₹80 crore entry cost after accounting for competitive pressure and distribution coverage?  Evidence: 1) Demand in the target region is forecast to grow by 9% annually for the next three years. 2) Entry requires an initial investment of ₹80 crore. 3) Expected operating margin before financing is 11%. 4) Two established competitors together hold about 58% of the market. 5) The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,78,Review the AI recommendation before continuing.,No additional verified information affecting the entry economics is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C6,MSOD01,C6,Market entry,Regional Market Entry,high_qc_candidate,absent,incorrect,Decision question: Does the expected demand and operating margin justify the ₹80 crore entry cost after accounting for competitive pressure and distribution coverage?  Evidence: 1) Demand in the target region is forecast to grow by 9% annually for the next three years. 2) Entry requires an initial investment of ₹80 crore. 3) Expected operating margin before financing is 11%. 4) Two established competitors together hold about 58% of the market. 5) The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,78,Review the AI recommendation before continuing.,No additional verified information affecting the entry economics is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C7,MSOD01,C7,Market entry,Regional Market Entry,high_qc_candidate,present,correct,Decision question: Does the expected demand and operating margin justify the ₹80 crore entry cost after accounting for competitive pressure and distribution coverage?  Evidence: 1) Demand in the target region is forecast to grow by 9% annually for the next three years. 2) Entry requires an initial investment of ₹80 crore. 3) Expected operating margin before financing is 11%. 4) Two established competitors together hold about 58% of the market. 5) The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,78,Review the AI recommendation before continuing.,"A formally approved state incentive will reimburse 35% of qualifying entry investment, and the approval was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD01_C8,MSOD01,C8,Market entry,Regional Market Entry,high_qc_candidate,present,incorrect,Decision question: Does the expected demand and operating margin justify the ₹80 crore entry cost after accounting for competitive pressure and distribution coverage?  Evidence: 1) Demand in the target region is forecast to grow by 9% annually for the next three years. 2) Entry requires an initial investment of ₹80 crore. 3) Expected operating margin before financing is 11%. 4) Two established competitors together hold about 58% of the market. 5) The firm's existing distribution network can cover roughly 60% of the target region.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,78,Review the AI recommendation before continuing.,"A formally approved state incentive will reimburse 35% of qualifying entry investment, and the approval was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C1,MSOD02,C1,Mergers and acquisitions,Acquisition of a Smaller Competitor,low_qc_candidate,absent,correct,The target has grown revenue by 14% annually over the last two years. The proposed purchase price is 11.5 times EBITDA. Customer concentration is high: the largest three customers contribute 46% of target revenue. Estimated annual cost synergies are ₹18 crore. Integration is expected to take 18 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,81,Review the AI recommendation before continuing.,No additional verified contract or customer-retention information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C2,MSOD02,C2,Mergers and acquisitions,Acquisition of a Smaller Competitor,low_qc_candidate,absent,incorrect,The target has grown revenue by 14% annually over the last two years. The proposed purchase price is 11.5 times EBITDA. Customer concentration is high: the largest three customers contribute 46% of target revenue. Estimated annual cost synergies are ₹18 crore. Integration is expected to take 18 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,81,Review the AI recommendation before continuing.,No additional verified contract or customer-retention information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
