case_id,representation_condition,item_1_problem_structure_clear,item_2_key_tradeoff_easy_to_identify,item_3_facts_feel_organised_around_decision,item_4_contains_more_decision_relevant_information_than_other_version,item_5_decision_difficulty,purpose
MSOD01,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD01,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD02,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD02,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD03,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD03,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD04,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD04,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD05,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD05,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD06,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD06,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD07,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD07,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD08,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD08,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD09,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD09,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD10,low_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
MSOD10,high_qc_candidate,1-7,1-7,1-7,1-7 reverse/equivalence check,1-7,Validate representation manipulation before confirmatory use; high-QC candidate should improve organisation items without increasing perceived information quantity.
