case_id,strategic_domain,case_title,stimuli
MSOD01,Market entry,Regional Market Entry,8
MSOD02,Mergers and acquisitions,Acquisition of a Smaller Competitor,8
MSOD03,Product launch,Launch of a Premium Product Line,8
MSOD04,AI investment,Enterprise AI Automation Platform,8
MSOD05,Supply-chain strategy,Dual-Sourcing Critical Components,8
MSOD06,Capacity expansion,New Production Capacity,8
MSOD07,Sustainability investment,Campus Rooftop Solar Programme,8
MSOD08,Pricing strategy,Premium Pricing Increase,8
MSOD09,Cybersecurity investment,Zero-Trust Security Rollout,8
MSOD10,Logistics strategy,New Regional Distribution Centre,8
